name,polis_id,xcoord,ycoord,City_ethnic,Constitution,Region,Size_of_Territory,Demos,Dikasterion,Gerousia,Nomothetai,Other_Institutions,Total_Institutions,phratriai,demoi,phylai,other_civic_subdivision,Proxenoi,Theorodokoi,Theorodokoi_Type,Panhellenic_Victors,Panhellenic_Victors_Specific_Games,Members_of_the_Delian_League,Stasis,Destruction,Type_of_Destruction,Andrapodismos,Destruction_of_urban_center,Dioikismos,Expulsion_of_population,Population_killed_off,Synoikismos,City_Walls,Political_Architecture,Temple,Theatre,Stoas,Gymnasia,Stadia,Hippodromes,Total_Public_Building_Types,Colonisation
none,none,none,none,none,checkbox,parallel,parallel,binary,binary,binary,binary,binary,parallel,binary,binary,binary,binary,binary,binary,binary,binary,parallel,binary,parallel,binary,parallel,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,parallel,parallel
,,,,,"No Record,Democracy,Oligarchy,Politeia,Tyranny,Basileia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-Megara (Hyblaia),36,10.25,2.616666667,Megareus,No Record,2,4,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,5,1,1,0,0,0,1,1,0,1,0,1,0,0,0,2,1
83-Melaina Korkyra,83,0.283333333,4.716666667,Korkyraios,No Record,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
229-Aigai (Achaia),229,20.36666667,12.63333333,Aigaios,"Democracy,Oligarchy",12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
282-Megale polis,282,25.36666667,14.61666667,Megalopolites,No Record,14,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,3,0
254-Ewaoioi,254,37.91666667,21.08333333,Ewaoioi,No Record,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251-Dyspontion,251,37.91666667,21.33333333,Dyspontios,"Democracy,Oligarchy",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258-Lenos,258,37.66666667,21.41666667,,No Record,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259-Letrinoi,259,37.66666667,21.5,Letrinos,No Record,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263-Pisa,263,37.91666667,21.5,Pisatas,No Record,13,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364-Athenai Diades,364,50.38333333,21.63333333,Athenites,"Democracy,Oligarchy,Tyranny",21,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
256-Larissa,256,37.83333333,21.75,,No Record,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499-Melos,499,50.45,25.6,Melios,No Record,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
688-Nikonion,688,30.41666667,26.16666667,,No Record,62,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,1,0,1,1,1,1,0,0,4,0
975-Malla,975,25.58333333,30.08333333,Mallois,No Record,41,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680-Serrion Teichos,680,45.45,32.66666667,Serreioteichites,No Record,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
676-Heraion/Heraion Teichos,676,0.45,32.68333333,Heraites,No Record,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
675-Daminon Teichos,675,5.466666667,32.68333333,Damnioteichites,No Record,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
741-Didymon Teichos,741,15.45,34.66666667,Didymoteichites,No Record,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735-Artaiou Teichos,735,20.46666667,34.66666667,Artaiotechites,No Record,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
972-Lebena,972,24.91666667,34.91666667,Lebenaios,No Record,41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
976-Matala,976,24.75,35,Matalios,No Record,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
988-Rhitten,988,24.91666667,35,Rhittenios,No Record,41,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
962-Hierpytna,962,25.75,35,Hierapytnios,No Record,41,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980-Phaistos,980,24.83333333,35.08333333,Phaistios,No Record,41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
960-Gortyns,960,24.91666667,35.08333333,Gortynios,No Record,41,4,1,1,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,2,0
949-Aulon,949,25,35.08333333,,Basileia,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
985-Priansos,985,25.25,35.08333333,Priansieus,No Record,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
